region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,106688.74,508,675.25,PROD_006,156,0.086
REG_02,83020.88,404,628.95,PROD_006,131,0.113
REG_03,91245.01,409,680.93,PROD_026,134,0.093
REG_04,79647.83,368,568.91,PROD_039,140,0.148
REG_05,86299.2,454,564.05,PROD_007,152,0.082
REG_06,95659.32,439,668.95,PROD_007,142,0.08
REG_07,116055.18,536,644.75,PROD_020,178,0.149
REG_08,99488.03,460,637.74,PROD_009,155,0.057
REG_09,115941.25,491,711.3,PROD_002,161,0.076
REG_10,92221.77,418,654.06,PROD_020,141,0.11
