product_id,category,sales_units,revenue,returns,stockouts,performance_score
PROD_001,Electronics,109,25964.16,1,0,15.96
PROD_002,Electronics,89,20519.03,3,0,-9.48
PROD_003,Electronics,62,16379.93,8,0,-63.62
PROD_004,Electronics,70,16001.08,0,0,16.0
PROD_005,Electronics,90,18176.42,5,0,-31.82
PROD_006,Electronics,131,26798.28,4,0,-13.2
PROD_007,Electronics,93,19858.65,1,0,9.86
PROD_008,Electronics,78,19204.27,3,0,-10.8
PROD_009,Electronics,115,24247.72,1,0,14.25
PROD_010,Electronics,111,23569.57,0,0,23.57
PROD_011,Electronics,65,13684.54,1,0,3.68
PROD_012,Electronics,67,12067.25,2,0,-7.93
PROD_013,Clothing,66,14763.6,1,0,4.76
PROD_014,Clothing,85,17880.87,2,0,-2.12
PROD_015,Clothing,102,20838.83,0,0,20.84
PROD_016,Clothing,89,18141.43,2,0,-1.86
PROD_017,Clothing,108,24025.47,0,0,24.03
PROD_018,Clothing,79,14510.45,0,0,14.51
PROD_019,Clothing,87,18738.07,2,0,-1.26
PROD_020,Clothing,137,28878.36,1,0,18.88
PROD_021,Clothing,85,16595.13,5,0,-33.4
PROD_022,Clothing,124,27438.75,1,0,17.44
PROD_023,Clothing,96,21331.87,0,0,21.33
PROD_024,Clothing,64,11526.76,0,0,11.53
PROD_025,Food,75,18677.42,3,0,-11.32
PROD_026,Food,106,21999.99,2,0,2.0
PROD_027,Food,81,16996.06,2,0,-3.0
PROD_028,Food,74,15175.76,1,0,5.18
PROD_029,Food,84,19636.04,4,0,-20.36
PROD_030,Food,89,17193.65,3,0,-12.81
PROD_031,Food,83,18798.28,4,0,-21.2
PROD_032,Food,84,14885.01,2,0,-5.11
PROD_033,Food,65,13733.26,2,0,-6.27
PROD_034,Food,90,18751.36,5,0,-31.25
PROD_035,Food,97,21020.38,4,0,-18.98
PROD_036,Food,114,20348.41,5,0,-29.65
PROD_037,Home,102,24670.59,3,0,-5.33
PROD_038,Home,86,17773.09,6,0,-42.23
PROD_039,Home,106,20847.39,2,0,0.85
PROD_040,Home,75,17873.75,0,0,17.87
PROD_041,Home,84,16724.39,0,0,16.72
PROD_042,Home,123,27700.02,10,0,-72.3
PROD_043,Home,73,16095.85,4,0,-23.9
PROD_044,Home,94,22438.23,0,0,22.44
PROD_045,Home,80,18820.33,0,0,18.82
PROD_046,Home,83,20493.5,6,0,-39.51
PROD_047,Home,66,13555.62,0,0,13.56
PROD_048,Home,91,18049.36,0,0,18.05
PROD_049,Books,86,20268.95,0,0,20.27
PROD_050,Books,94,22600.03,4,0,-17.4
