employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,25702.06,44,584.14,1,514.04
EMP_002,REG_02,83020.88,132,628.95,4,1660.42
EMP_003,REG_03,40062.95,61,656.77,4,801.26
EMP_004,REG_04,10172.93,18,565.16,5,203.46
EMP_005,REG_05,37677.21,72,523.29,0,753.54
EMP_006,REG_06,95659.32,143,668.95,3,1913.19
EMP_007,REG_07,116055.18,180,644.75,3,2321.1
EMP_008,REG_08,30587.94,47,650.81,5,611.76
EMP_009,REG_09,39349.0,50,786.98,1,786.98
EMP_010,REG_10,17099.52,23,743.46,1,341.99
EMP_011,REG_01,26457.23,35,755.92,5,529.14
EMP_012,REG_08,24546.46,33,743.83,4,490.93
EMP_013,REG_10,10749.63,25,429.99,2,214.99
EMP_014,REG_03,51182.06,73,701.12,2,1023.64
EMP_015,REG_08,22094.35,38,581.43,4,441.89
EMP_016,REG_04,14323.59,26,550.91,1,286.47
EMP_017,REG_10,18619.24,26,716.12,5,372.38
EMP_018,REG_01,26233.09,41,639.83,4,524.66
EMP_019,REG_01,28296.36,38,744.64,4,565.93
EMP_020,REG_10,25767.59,43,599.25,2,515.35
EMP_021,REG_05,48621.99,81,600.27,3,972.44
EMP_022,REG_09,27187.38,43,632.26,1,543.75
EMP_023,REG_08,22259.28,38,585.77,1,445.19
EMP_024,REG_04,17070.46,25,682.82,2,341.41
EMP_025,REG_09,15702.32,22,713.74,3,314.05
EMP_026,REG_04,13030.63,22,592.3,5,260.61
EMP_027,REG_09,33702.55,48,702.14,1,674.05
EMP_028,REG_10,19985.79,24,832.74,5,399.72
EMP_029,REG_04,16151.38,27,598.2,0,323.03
EMP_030,REG_04,8898.84,22,404.49,3,177.98
