employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,34180.11,44,776.82,0,683.6
EMP_002,REG_02,71220.92,128,556.41,1,1424.42
EMP_003,REG_03,47714.9,66,722.95,0,954.3
EMP_004,REG_04,18213.04,30,607.1,5,364.26
EMP_005,REG_05,45065.23,76,592.96,3,901.3
EMP_006,REG_06,99970.6,144,694.24,0,1999.41
EMP_007,REG_07,101273.58,141,718.25,4,2025.47
EMP_008,REG_08,17373.41,33,526.47,0,347.47
EMP_009,REG_09,18625.09,34,547.8,3,372.5
EMP_010,REG_10,20687.47,32,646.48,1,413.75
EMP_011,REG_01,18281.7,35,522.33,3,365.63
EMP_012,REG_08,22747.25,37,614.79,2,454.94
EMP_013,REG_10,18867.17,37,509.92,3,377.34
EMP_014,REG_03,43307.94,69,627.65,0,866.16
EMP_015,REG_08,20876.9,33,632.63,3,417.54
EMP_016,REG_04,17760.59,27,657.8,5,355.21
EMP_017,REG_10,16881.63,25,675.27,1,337.63
EMP_018,REG_01,28524.0,37,770.92,5,570.48
EMP_019,REG_01,22326.15,36,620.17,3,446.52
EMP_020,REG_10,11661.24,22,530.06,5,233.22
EMP_021,REG_05,49664.42,84,591.24,5,993.29
EMP_022,REG_09,31677.92,39,812.25,3,633.56
EMP_023,REG_08,25355.57,41,618.43,4,507.11
EMP_024,REG_04,22576.4,40,564.41,1,451.53
EMP_025,REG_09,25251.92,37,682.48,1,505.04
EMP_026,REG_04,16367.74,26,629.53,1,327.35
EMP_027,REG_09,16828.01,30,560.93,4,336.56
EMP_028,REG_10,13432.43,25,537.3,1,268.65
EMP_029,REG_04,16360.12,21,779.05,0,327.2
EMP_030,REG_04,23803.55,25,952.14,4,476.07
