region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,76803.21,371,609.55,PROD_023,125,0.146
REG_02,94062.82,452,639.88,PROD_036,145,0.065
REG_03,101877.51,472,632.78,PROD_004,160,0.149
REG_04,95917.42,508,592.08,PROD_012,161,0.104
REG_05,92047.0,426,634.81,PROD_040,143,0.13
REG_06,79886.93,383,605.2,PROD_018,130,0.123
REG_07,109810.61,470,699.43,PROD_005,156,0.117
REG_08,109668.24,485,685.43,PROD_036,159,0.052
REG_09,118796.51,512,737.87,PROD_048,160,0.148
REG_10,95980.06,467,644.16,PROD_035,149,0.104
