region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,86735.41,447,548.96,PROD_039,154,0.065
REG_02,102869.21,498,663.67,PROD_043,153,0.1
REG_03,96048.4,430,662.4,PROD_004,142,0.067
REG_04,89751.29,454,602.36,PROD_036,147,0.084
REG_05,96013.29,429,705.98,PROD_013,135,0.122
REG_06,88084.68,451,611.7,PROD_031,144,0.141
REG_07,100286.08,446,642.86,PROD_015,154,0.063
REG_08,100312.53,462,673.24,PROD_020,148,0.069
REG_09,115342.76,507,690.68,PROD_006,164,0.07
REG_10,98240.99,445,672.88,PROD_034,145,0.084
