employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,20567.52,44,467.44,5,411.35
EMP_002,REG_02,102869.21,155,663.67,4,2057.38
EMP_003,REG_03,57450.68,75,766.01,5,1149.01
EMP_004,REG_04,13223.91,27,489.77,1,264.48
EMP_005,REG_05,46621.86,65,717.26,4,932.44
EMP_006,REG_06,88084.68,144,611.7,0,1761.69
EMP_007,REG_07,100286.08,156,642.86,3,2005.72
EMP_008,REG_08,21901.74,34,644.17,2,438.03
EMP_009,REG_09,23070.98,39,591.56,4,461.42
EMP_010,REG_10,14599.56,24,608.31,5,291.99
EMP_011,REG_01,22668.74,46,492.8,2,453.37
EMP_012,REG_08,27674.41,34,813.95,5,553.49
EMP_013,REG_10,23286.12,32,727.69,2,465.72
EMP_014,REG_03,38597.72,70,551.4,4,771.95
EMP_015,REG_08,32336.5,53,610.12,3,646.73
EMP_016,REG_04,17337.47,26,666.83,5,346.75
EMP_017,REG_10,16335.22,34,480.45,3,326.7
EMP_018,REG_01,17218.42,25,688.74,4,344.37
EMP_019,REG_01,26280.73,43,611.18,2,525.61
EMP_020,REG_10,16431.07,26,631.96,0,328.62
EMP_021,REG_05,49391.43,71,695.65,0,987.83
EMP_022,REG_09,30657.57,38,806.78,0,613.15
EMP_023,REG_08,18399.88,28,657.14,2,368.0
EMP_024,REG_04,18415.64,30,613.85,4,368.31
EMP_025,REG_09,32681.39,48,680.86,1,653.63
EMP_026,REG_04,11822.81,21,562.99,5,236.46
EMP_027,REG_09,28932.82,42,688.88,1,578.66
EMP_028,REG_10,27589.02,30,919.63,3,551.78
EMP_029,REG_04,13877.53,22,630.8,5,277.55
EMP_030,REG_04,15073.93,23,655.39,1,301.48
