employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,18850.03,36,523.61,0,377.0
EMP_002,REG_02,82436.68,130,634.13,1,1648.73
EMP_003,REG_03,44923.93,65,691.14,0,898.48
EMP_004,REG_04,20423.77,27,756.44,2,408.48
EMP_005,REG_05,54572.1,82,665.51,2,1091.44
EMP_006,REG_06,109331.2,173,631.97,5,2186.62
EMP_007,REG_07,91172.8,133,685.51,4,1823.46
EMP_008,REG_08,18894.78,27,699.81,5,377.9
EMP_009,REG_09,24668.83,42,587.35,1,493.38
EMP_010,REG_10,17662.32,27,654.16,1,353.25
EMP_011,REG_01,28283.12,47,601.77,0,565.66
EMP_012,REG_08,26807.99,37,724.54,3,536.16
EMP_013,REG_10,19333.92,27,716.07,1,386.68
EMP_014,REG_03,50667.83,84,603.19,5,1013.36
EMP_015,REG_08,18568.03,37,501.84,1,371.36
EMP_016,REG_04,13892.3,20,694.62,3,277.85
EMP_017,REG_10,28988.77,43,674.16,2,579.78
EMP_018,REG_01,29507.52,41,719.7,2,590.15
EMP_019,REG_01,33177.81,44,754.04,4,663.56
EMP_020,REG_10,14750.54,34,433.84,4,295.01
EMP_021,REG_05,54182.68,86,630.03,2,1083.65
EMP_022,REG_09,18932.07,28,676.15,4,378.64
EMP_023,REG_08,25930.4,38,682.38,5,518.61
EMP_024,REG_04,19222.43,21,915.35,0,384.45
EMP_025,REG_09,19087.88,38,502.31,0,381.76
EMP_026,REG_04,16848.35,23,732.54,0,336.97
EMP_027,REG_09,19348.22,26,744.16,2,386.96
EMP_028,REG_10,16609.51,28,593.2,2,332.19
EMP_029,REG_04,19838.34,34,583.48,0,396.77
EMP_030,REG_04,10537.36,22,478.97,2,210.75
