region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,109818.48,498,653.68,PROD_041,165,0.062
REG_02,82436.68,388,634.13,PROD_029,128,0.083
REG_03,95591.76,457,641.56,PROD_025,149,0.124
REG_04,100762.55,461,685.46,PROD_030,145,0.068
REG_05,108754.78,516,647.35,PROD_001,168,0.094
REG_06,109331.2,547,631.97,PROD_044,171,0.137
REG_07,91172.8,418,685.51,PROD_037,132,0.12
REG_08,90201.2,404,648.93,PROD_047,137,0.112
REG_09,82037.0,375,612.22,PROD_048,133,0.071
REG_10,97345.06,483,612.23,PROD_034,159,0.106
