refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202407_0361,TXN_202407_009450,2024-07-16,REG_01,PROD_012,2,718.18,Defective
REF_202407_0362,TXN_202407_009359,2024-08-05,REG_05,PROD_011,1,193.22,Wrong item
REF_202407_0363,TXN_202407_008981,2024-07-27,REG_05,PROD_031,1,334.92,Customer request
REF_202407_0364,TXN_202407_009386,2024-08-13,REG_03,PROD_042,5,1352.35,Damaged in transit
REF_202407_0365,TXN_202407_009286,2024-08-06,REG_01,PROD_043,1,317.83,Damaged in transit
REF_202407_0366,TXN_202407_009273,2024-08-03,REG_03,PROD_031,2,538.7,Customer request
REF_202407_0367,TXN_202407_009330,2024-07-28,REG_03,PROD_032,1,284.77,Defective
REF_202407_0368,TXN_202407_009187,2024-07-31,REG_05,PROD_019,2,57.48,Wrong item
REF_202407_0369,TXN_202407_009110,2024-08-12,REG_01,PROD_038,1,38.29,Not as described
REF_202407_0370,TXN_202407_009346,2024-08-04,REG_06,PROD_046,3,1494.21,Damaged in transit
REF_202407_0371,TXN_202407_009347,2024-07-28,REG_03,PROD_034,2,255.76,Not as described
REF_202407_0372,TXN_202407_009174,2024-07-27,REG_07,PROD_050,1,386.62,Damaged in transit
REF_202407_0373,TXN_202407_009211,2024-07-23,REG_07,PROD_046,2,518.08,Damaged in transit
REF_202407_0374,TXN_202407_009280,2024-07-29,REG_05,PROD_003,5,1333.55,Wrong item
REF_202407_0375,TXN_202407_009352,2024-07-25,REG_08,PROD_001,1,402.87,Damaged in transit
REF_202407_0376,TXN_202407_009150,2024-07-22,REG_03,PROD_020,1,363.99,Not as described
REF_202407_0377,TXN_202407_009200,2024-07-22,REG_10,PROD_008,3,1265.25,Not as described
REF_202407_0378,TXN_202407_009427,2024-07-09,REG_10,PROD_036,4,55.72,Damaged in transit
REF_202407_0379,TXN_202407_009065,2024-08-03,REG_09,PROD_003,1,351.47,Defective
REF_202407_0380,TXN_202407_009210,2024-07-31,REG_02,PROD_016,2,190.98,Customer request
