transaction_id,date,region,store_id,employee_id,product_id,units,unit_price,discount,revenue,payment,customer_id,customer_segment
TXN_202508_015462,2025-08-05,REG_07,STORE_019,EMP_007,PROD_026,4,304.62,0.11,1084.45,card,CUST_3259,VIP
TXN_202508_015463,2025-08-20,REG_02,STORE_004,EMP_002,PROD_034,4,209.72,0.0,838.88,credit,CUST_8413,New
TXN_202508_015464,2025-08-04,REG_06,STORE_017,EMP_006,PROD_012,3,144.97,0.11,387.07,cash,CUST_1866,Regular
TXN_202508_015465,2025-08-12,REG_04,STORE_010,EMP_004,PROD_001,1,338.25,0.16,284.13,mobile,CUST_7504,VIP
TXN_202508_015466,2025-08-19,REG_02,STORE_006,EMP_002,PROD_021,3,413.8,0.14,1067.6,card,CUST_4340,Regular
TXN_202508_015467,2025-08-21,REG_02,STORE_006,EMP_002,PROD_011,1,179.37,0.24,136.32,credit,CUST_7974,Premium
TXN_202508_015468,2025-08-23,REG_07,STORE_021,EMP_007,PROD_017,4,299.99,0.19,971.97,mobile,CUST_6537,VIP
TXN_202508_015469,2025-08-14,REG_05,STORE_013,EMP_021,PROD_008,2,118.49,0.08,218.02,card,CUST_6369,New
TXN_202508_015470,2025-08-14,REG_02,STORE_005,EMP_002,PROD_034,2,131.24,0.24,199.48,credit,CUST_9189,Premium
TXN_202508_015471,2025-08-23,REG_01,STORE_002,EMP_019,PROD_048,4,197.37,0.05,750.01,cash,CUST_3983,VIP
TXN_202508_015472,2025-08-11,REG_01,STORE_003,EMP_011,PROD_047,3,74.56,0.25,167.76,cash,CUST_9426,Premium
TXN_202508_015473,2025-08-24,REG_07,STORE_019,EMP_007,PROD_008,4,184.46,0.06,693.57,mobile,CUST_7929,Premium
TXN_202508_015474,2025-08-25,REG_04,STORE_011,EMP_024,PROD_015,2,339.18,0.16,569.82,cash,CUST_3457,Regular
TXN_202508_015475,2025-08-22,REG_07,STORE_020,EMP_007,PROD_021,2,17.1,0.09,31.12,cash,CUST_2120,Premium
TXN_202508_015476,2025-08-28,REG_02,STORE_006,EMP_002,PROD_018,3,151.96,0.26,337.35,credit,CUST_2625,VIP
TXN_202508_015477,2025-08-23,REG_06,STORE_016,EMP_006,PROD_039,3,368.99,0.23,852.37,card,CUST_2611,Regular
TXN_202508_015478,2025-08-15,REG_10,STORE_029,EMP_017,PROD_031,5,327.71,0.04,1573.01,card,CUST_3368,Premium
