refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202508_0621,TXN_202508_015588,2025-08-20,REG_10,PROD_011,2,886.46,Wrong item
REF_202508_0622,TXN_202508_015699,2025-08-31,REG_03,PROD_027,3,693.33,Customer request
REF_202508_0623,TXN_202508_015666,2025-08-24,REG_05,PROD_032,1,484.29,Damaged in transit
REF_202508_0624,TXN_202508_015708,2025-08-28,REG_08,PROD_028,1,392.09,Wrong item
REF_202508_0625,TXN_202508_015670,2025-08-23,REG_01,PROD_033,1,369.8,Defective
REF_202508_0626,TXN_202508_015819,2025-08-18,REG_09,PROD_003,2,25.14,Defective
REF_202508_0627,TXN_202508_015788,2025-08-31,REG_05,PROD_050,1,89.24,Customer request
REF_202508_0628,TXN_202508_015875,2025-08-25,REG_03,PROD_043,3,959.73,Wrong item
REF_202508_0629,TXN_202508_015886,2025-08-23,REG_06,PROD_027,2,491.08,Defective
REF_202508_0630,TXN_202508_015840,2025-08-14,REG_09,PROD_009,1,131.06,Wrong item
REF_202508_0631,TXN_202508_015703,2025-08-30,REG_10,PROD_014,2,917.28,Not as described
REF_202508_0632,TXN_202508_015643,2025-09-13,REG_10,PROD_023,3,1433.31,Defective
REF_202508_0633,TXN_202508_015462,2025-08-15,REG_07,PROD_026,4,1218.48,Customer request
REF_202508_0634,TXN_202508_015876,2025-08-10,REG_03,PROD_002,4,986.68,Not as described
REF_202508_0635,TXN_202508_015726,2025-08-22,REG_06,PROD_001,1,234.97,Defective
REF_202508_0636,TXN_202508_015954,2025-09-08,REG_08,PROD_045,1,199.69,Damaged in transit
REF_202508_0637,TXN_202508_015733,2025-08-26,REG_01,PROD_047,1,255.1,Not as described
REF_202508_0638,TXN_202508_015556,2025-09-09,REG_09,PROD_045,1,236.69,Not as described
REF_202508_0639,TXN_202508_015612,2025-09-04,REG_06,PROD_008,1,178.71,Wrong item
REF_202508_0640,TXN_202508_015544,2025-08-17,REG_04,PROD_039,2,755.74,Not as described
