employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,31768.87,40,794.22,3,635.38
EMP_002,REG_02,101073.27,144,701.9,4,2021.47
EMP_003,REG_03,48905.26,76,643.49,1,978.11
EMP_004,REG_04,8800.61,18,488.92,0,176.01
EMP_005,REG_05,53529.35,79,677.59,5,1070.59
EMP_006,REG_06,101930.3,163,625.34,1,2038.61
EMP_007,REG_07,93089.63,137,679.49,2,1861.79
EMP_008,REG_08,16306.9,30,543.56,5,326.14
EMP_009,REG_09,20022.29,34,588.89,2,400.45
EMP_010,REG_10,16132.03,25,645.28,2,322.64
EMP_011,REG_01,17087.85,30,569.59,2,341.76
EMP_012,REG_08,22565.81,34,663.7,5,451.32
EMP_013,REG_10,23170.2,40,579.25,1,463.4
EMP_014,REG_03,51792.54,80,647.41,2,1035.85
EMP_015,REG_08,16910.05,29,583.11,4,338.2
EMP_016,REG_04,20550.02,27,761.11,4,411.0
EMP_017,REG_10,22442.66,28,801.52,2,448.85
EMP_018,REG_01,27022.24,48,562.96,2,540.44
EMP_019,REG_01,28441.41,42,677.18,2,568.83
EMP_020,REG_10,14813.81,23,644.08,5,296.28
EMP_021,REG_05,51429.07,79,651.0,4,1028.58
EMP_022,REG_09,20627.76,39,528.92,1,412.56
EMP_023,REG_08,30825.26,47,655.86,5,616.51
EMP_024,REG_04,15567.43,26,598.75,3,311.35
EMP_025,REG_09,28860.25,40,721.51,2,577.21
EMP_026,REG_04,21299.92,26,819.23,5,426.0
EMP_027,REG_09,34387.78,41,838.73,0,687.76
EMP_028,REG_10,15718.72,22,714.49,4,314.37
EMP_029,REG_04,18874.85,32,589.84,2,377.5
EMP_030,REG_04,16335.83,21,777.9,2,326.72
