region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,104320.37,490,652.0,PROD_013,159,0.134
REG_02,101073.27,441,701.9,PROD_023,143,0.055
REG_03,100697.8,460,645.5,PROD_025,152,0.136
REG_04,101428.66,466,676.19,PROD_003,147,0.12
REG_05,104958.42,488,664.29,PROD_014,158,0.091
REG_06,101930.3,472,625.34,PROD_005,160,0.12
REG_07,93089.63,412,679.49,PROD_017,137,0.141
REG_08,86608.02,407,618.63,PROD_045,139,0.072
REG_09,103898.08,473,674.66,PROD_045,153,0.063
REG_10,92277.42,427,668.68,PROD_001,138,0.104
