employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,21386.14,33,648.06,4,427.72
EMP_002,REG_02,111380.74,154,723.25,5,2227.61
EMP_003,REG_03,46786.25,66,708.88,4,935.73
EMP_004,REG_04,14067.81,21,669.9,5,281.36
EMP_005,REG_05,49349.07,73,676.01,0,986.98
EMP_006,REG_06,78677.19,147,535.22,2,1573.54
EMP_007,REG_07,93675.56,148,632.94,2,1873.51
EMP_008,REG_08,23118.19,38,608.37,5,462.36
EMP_009,REG_09,20510.84,29,707.27,5,410.22
EMP_010,REG_10,30942.63,40,773.57,4,618.85
EMP_011,REG_01,24270.0,39,622.31,0,485.4
EMP_012,REG_08,23712.08,44,538.91,4,474.24
EMP_013,REG_10,19374.38,28,691.94,0,387.49
EMP_014,REG_03,51296.72,84,610.68,1,1025.93
EMP_015,REG_08,12965.02,28,463.04,1,259.3
EMP_016,REG_04,10428.44,22,474.02,1,208.57
EMP_017,REG_10,16744.23,29,577.39,4,334.88
EMP_018,REG_01,31651.92,42,753.62,2,633.04
EMP_019,REG_01,17439.14,29,601.35,4,348.78
EMP_020,REG_10,15434.06,23,671.05,3,308.68
EMP_021,REG_05,53121.86,76,698.97,5,1062.44
EMP_022,REG_09,28477.0,50,569.54,0,569.54
EMP_023,REG_08,29020.34,42,690.96,3,580.41
EMP_024,REG_04,16452.16,24,685.51,0,329.04
EMP_025,REG_09,30477.71,45,677.28,1,609.55
EMP_026,REG_04,22036.14,32,688.63,4,440.72
EMP_027,REG_09,20967.55,32,655.24,2,419.35
EMP_028,REG_10,23873.2,32,746.04,1,477.46
EMP_029,REG_04,17644.65,26,678.64,5,352.89
EMP_030,REG_04,19648.38,24,818.68,1,392.97
