region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,101249.26,471,670.52,PROD_033,149,0.101
REG_02,86883.94,419,607.58,PROD_050,139,0.066
REG_03,82164.38,429,558.94,PROD_050,146,0.1
REG_04,83407.97,367,627.13,PROD_050,131,0.096
REG_05,116292.04,524,684.07,PROD_028,168,0.141
REG_06,91422.33,479,609.48,PROD_027,148,0.086
REG_07,114207.61,502,688.0,PROD_044,164,0.06
REG_08,116524.99,491,746.96,PROD_008,156,0.071
REG_09,100836.38,443,672.24,PROD_028,149,0.071
REG_10,84651.58,370,631.73,PROD_015,134,0.092
