employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,27812.87,41,678.36,5,556.26
EMP_002,REG_02,86883.94,143,607.58,3,1737.68
EMP_003,REG_03,42167.74,77,547.63,0,843.35
EMP_004,REG_04,12963.2,24,540.13,1,259.26
EMP_005,REG_05,67045.95,90,744.95,2,1340.92
EMP_006,REG_06,91422.33,150,609.48,1,1828.45
EMP_007,REG_07,114207.61,166,688.0,1,2284.15
EMP_008,REG_08,26023.66,36,722.88,2,520.47
EMP_009,REG_09,22634.19,36,628.73,0,452.68
EMP_010,REG_10,13845.45,24,576.89,3,276.91
EMP_011,REG_01,26021.1,35,743.46,3,520.42
EMP_012,REG_08,25639.79,33,776.96,2,512.8
EMP_013,REG_10,16320.72,25,652.83,3,326.41
EMP_014,REG_03,39996.64,70,571.38,4,799.93
EMP_015,REG_08,34375.81,47,731.4,1,687.52
EMP_016,REG_04,16338.2,24,680.76,0,326.76
EMP_017,REG_10,18994.4,29,654.98,3,379.89
EMP_018,REG_01,24215.14,41,590.61,1,484.3
EMP_019,REG_01,23200.15,34,682.36,0,464.0
EMP_020,REG_10,18130.53,27,671.5,4,362.61
EMP_021,REG_05,49246.09,80,615.58,2,984.92
EMP_022,REG_09,25427.12,33,770.52,0,508.54
EMP_023,REG_08,30485.73,40,762.14,5,609.71
EMP_024,REG_04,16404.51,26,630.94,1,328.09
EMP_025,REG_09,26836.78,44,609.93,5,536.74
EMP_026,REG_04,15071.51,23,655.28,3,301.43
EMP_027,REG_09,25938.29,37,701.03,0,518.77
EMP_028,REG_10,17360.48,29,598.64,2,347.21
EMP_029,REG_04,8295.06,15,553.0,3,165.9
EMP_030,REG_04,14335.49,21,682.64,4,286.71
