product_id,category,sales_units,revenue,returns,stockouts,performance_score
PROD_001,Electronics,92,21642.87,6,0,-38.36
PROD_002,Electronics,95,21918.61,1,0,11.92
PROD_003,Electronics,83,16885.06,0,0,16.89
PROD_004,Electronics,63,12283.69,0,0,12.28
PROD_005,Electronics,70,18467.66,7,0,-51.53
PROD_006,Electronics,109,19495.18,2,0,-0.5
PROD_007,Electronics,64,12921.61,3,0,-17.08
PROD_008,Electronics,109,22761.11,2,0,2.76
PROD_009,Electronics,75,16957.79,0,0,16.96
PROD_010,Electronics,98,17657.47,0,0,17.66
PROD_011,Electronics,105,23186.39,5,0,-26.81
PROD_012,Electronics,73,14707.67,0,0,14.71
PROD_013,Clothing,100,21745.7,0,0,21.75
PROD_014,Clothing,99,22361.85,4,0,-17.64
PROD_015,Clothing,98,18817.04,6,0,-41.18
PROD_016,Clothing,98,18829.71,1,0,8.83
PROD_017,Clothing,92,21276.56,0,0,21.28
PROD_018,Clothing,108,24283.8,2,0,4.28
PROD_019,Clothing,70,14358.46,1,0,4.36
PROD_020,Clothing,95,17777.6,0,0,17.78
PROD_021,Clothing,88,17916.36,5,0,-32.08
PROD_022,Clothing,75,16436.68,1,0,6.44
PROD_023,Clothing,103,21999.91,2,0,2.0
PROD_024,Clothing,59,13945.65,3,0,-16.05
PROD_025,Food,81,20013.34,1,0,10.01
PROD_026,Food,68,16886.98,1,0,6.89
PROD_027,Food,102,26528.46,5,0,-23.47
PROD_028,Food,112,23477.87,0,0,23.48
PROD_029,Food,101,23526.48,0,0,23.53
PROD_030,Food,97,20344.22,1,0,10.34
PROD_031,Food,87,19480.18,2,0,-0.52
PROD_032,Food,76,14731.2,2,0,-5.27
PROD_033,Food,91,22710.2,2,0,2.71
PROD_034,Food,94,24357.79,1,0,14.36
PROD_035,Food,76,12609.66,2,0,-7.39
PROD_036,Food,95,22665.66,0,0,22.67
PROD_037,Home,79,14829.1,1,0,4.83
PROD_038,Home,87,14544.56,2,0,-5.46
PROD_039,Home,115,24645.96,4,0,-15.35
PROD_040,Home,104,26269.4,1,0,16.27
PROD_041,Home,45,5726.5,0,0,5.73
PROD_042,Home,100,19347.27,0,0,19.35
PROD_043,Home,74,16601.51,5,0,-33.4
PROD_044,Home,107,26588.06,5,0,-23.41
PROD_045,Home,58,11677.88,3,0,-18.32
PROD_046,Home,86,17657.44,3,0,-12.34
PROD_047,Home,119,22205.76,3,0,-7.79
PROD_048,Home,85,20684.66,0,0,20.68
PROD_049,Books,97,23913.63,10,0,-76.09
PROD_050,Books,138,36982.28,0,0,36.98
