transaction_id,date,region,store_id,employee_id,product_id,units,unit_price,discount,revenue,payment,customer_id,customer_segment
TXN_202504_013462,2025-04-20,REG_09,STORE_027,EMP_025,PROD_050,3,499.2,0.3,1048.32,card,CUST_7966,VIP
TXN_202504_013463,2025-04-03,REG_09,STORE_027,EMP_027,PROD_011,2,243.3,0.22,379.55,credit,CUST_3583,New
TXN_202504_013464,2025-04-20,REG_02,STORE_006,EMP_002,PROD_028,2,212.31,0.15,360.93,credit,CUST_6471,Regular
TXN_202504_013465,2025-04-28,REG_10,STORE_030,EMP_028,PROD_019,5,341.21,0.22,1330.72,credit,CUST_6804,New
TXN_202504_013466,2025-04-08,REG_09,STORE_027,EMP_009,PROD_030,5,59.43,0.15,252.58,cash,CUST_1689,VIP
TXN_202504_013467,2025-04-26,REG_08,STORE_023,EMP_023,PROD_034,4,452.34,0.17,1501.77,mobile,CUST_2553,VIP
TXN_202504_013468,2025-04-11,REG_02,STORE_004,EMP_002,PROD_005,5,34.0,0.09,154.7,credit,CUST_4275,Regular
TXN_202504_013469,2025-04-16,REG_03,STORE_009,EMP_003,PROD_032,3,244.15,0.11,651.88,cash,CUST_1414,VIP
TXN_202504_013470,2025-04-22,REG_05,STORE_013,EMP_021,PROD_019,1,116.98,0.15,99.43,cash,CUST_1454,Premium
TXN_202504_013471,2025-04-26,REG_10,STORE_030,EMP_017,PROD_047,5,403.21,0.04,1935.41,cash,CUST_9211,Premium
TXN_202504_013472,2025-04-01,REG_03,STORE_008,EMP_014,PROD_019,1,189.79,0.26,140.44,credit,CUST_1880,New
TXN_202504_013473,2025-04-22,REG_06,STORE_018,EMP_006,PROD_015,2,121.15,0.18,198.69,cash,CUST_8247,Premium
TXN_202504_013474,2025-04-15,REG_01,STORE_002,EMP_001,PROD_043,1,275.35,0.08,253.32,cash,CUST_2709,Premium
TXN_202504_013475,2025-04-07,REG_04,STORE_010,EMP_004,PROD_001,3,47.1,0.28,101.74,cash,CUST_9553,Regular
TXN_202504_013476,2025-04-19,REG_09,STORE_026,EMP_009,PROD_022,4,357.27,0.13,1243.3,card,CUST_6463,Premium
TXN_202504_013477,2025-04-19,REG_02,STORE_005,EMP_002,PROD_030,3,225.35,0.01,669.29,credit,CUST_5116,New
TXN_202504_013478,2025-04-07,REG_01,STORE_002,EMP_011,PROD_047,4,110.18,0.14,379.02,card,CUST_6171,VIP
TXN_202504_013479,2025-04-14,REG_04,STORE_012,EMP_029,PROD_050,4,376.69,0.12,1325.95,mobile,CUST_9381,New
