product_id,region,warehouse_id,start_stock,end_stock,stock_losses,stock_replenished
PROD_001,REG_01,WH_001,156,212,5,61
PROD_001,REG_01,WH_002,495,572,8,85
PROD_001,REG_02,WH_003,434,484,4,54
PROD_001,REG_02,WH_004,239,331,7,99
PROD_001,REG_03,WH_005,54,93,8,47
PROD_001,REG_03,WH_006,500,549,3,52
PROD_001,REG_04,WH_007,93,140,10,57
PROD_001,REG_04,WH_008,436,482,3,49
PROD_001,REG_05,WH_009,196,219,0,23
PROD_001,REG_05,WH_010,366,386,2,22
PROD_001,REG_06,WH_011,483,521,8,46
PROD_001,REG_06,WH_012,319,406,9,96
PROD_001,REG_07,WH_013,388,474,0,86
PROD_001,REG_07,WH_014,221,258,3,40
PROD_001,REG_08,WH_015,86,148,1,63
PROD_001,REG_08,WH_016,422,496,10,84
PROD_001,REG_09,WH_017,328,408,9,89
PROD_001,REG_09,WH_018,146,237,9,100
PROD_001,REG_10,WH_019,304,397,3,96
PROD_001,REG_10,WH_020,157,210,5,58
PROD_002,REG_01,WH_001,271,350,6,85
PROD_002,REG_01,WH_002,308,396,3,91
PROD_002,REG_02,WH_003,67,148,2,83
PROD_002,REG_02,WH_004,459,525,0,66
PROD_002,REG_03,WH_005,298,316,5,23
PROD_002,REG_03,WH_006,73,155,9,91
PROD_002,REG_04,WH_007,208,303,5,100
PROD_002,REG_04,WH_008,380,471,7,98
PROD_002,REG_05,WH_009,104,134,0,30
PROD_002,REG_05,WH_010,331,405,1,75
PROD_002,REG_06,WH_011,212,255,3,46
PROD_002,REG_06,WH_012,294,375,4,85
PROD_002,REG_07,WH_013,108,137,7,36
PROD_002,REG_07,WH_014,134,198,4,68
PROD_002,REG_08,WH_015,454,516,1,63
PROD_002,REG_08,WH_016,493,548,10,65
PROD_002,REG_09,WH_017,372,461,7,96
PROD_002,REG_09,WH_018,199,259,1,61
PROD_002,REG_10,WH_019,157,178,10,31
PROD_002,REG_10,WH_020,106,200,1,95
PROD_003,REG_01,WH_001,265,282,7,24
PROD_003,REG_01,WH_002,309,365,0,56
PROD_003,REG_02,WH_003,387,454,6,73
PROD_003,REG_02,WH_004,366,440,9,83
PROD_003,REG_03,WH_005,227,324,1,98
PROD_003,REG_03,WH_006,424,465,0,41
PROD_003,REG_04,WH_007,474,567,7,100
PROD_003,REG_04,WH_008,78,142,8,72
PROD_003,REG_05,WH_009,434,512,6,84
PROD_003,REG_05,WH_010,123,154,1,32
PROD_003,REG_06,WH_011,217,304,6,93
PROD_003,REG_06,WH_012,82,102,0,20
PROD_003,REG_07,WH_013,422,479,0,57
PROD_003,REG_07,WH_014,168,225,1,58
PROD_003,REG_08,WH_015,354,367,9,22
PROD_003,REG_08,WH_016,465,500,5,40
PROD_003,REG_09,WH_017,357,390,1,34
PROD_003,REG_09,WH_018,428,459,2,33
PROD_003,REG_10,WH_019,226,281,6,61
PROD_003,REG_10,WH_020,297,335,9,47
PROD_004,REG_01,WH_001,173,210,4,41
PROD_004,REG_01,WH_002,62,155,4,97
PROD_004,REG_02,WH_003,212,258,7,53
PROD_004,REG_02,WH_004,87,128,2,43
PROD_004,REG_03,WH_005,320,364,2,46
PROD_004,REG_03,WH_006,462,537,8,83
PROD_004,REG_04,WH_007,403,462,0,59
PROD_004,REG_04,WH_008,101,198,1,98
PROD_004,REG_05,WH_009,391,460,8,77
PROD_004,REG_05,WH_010,265,333,2,70
PROD_004,REG_06,WH_011,318,399,7,88
PROD_004,REG_06,WH_012,290,322,9,41
PROD_004,REG_07,WH_013,343,405,10,72
PROD_004,REG_07,WH_014,71,88,4,21
PROD_004,REG_08,WH_015,453,472,8,27
PROD_004,REG_08,WH_016,190,276,10,96
PROD_004,REG_09,WH_017,150,224,7,81
PROD_004,REG_09,WH_018,118,149,3,34
PROD_004,REG_10,WH_019,339,399,5,65
PROD_004,REG_10,WH_020,137,232,2,97
PROD_005,REG_01,WH_001,387,455,2,70
PROD_005,REG_01,WH_002,72,112,2,42
PROD_005,REG_02,WH_003,256,278,1,23
PROD_005,REG_02,WH_004,293,334,2,43
PROD_005,REG_03,WH_005,317,380,1,64
PROD_005,REG_03,WH_006,202,244,0,42
PROD_005,REG_04,WH_007,85,171,1,87
PROD_005,REG_04,WH_008,94,132,1,39
PROD_005,REG_05,WH_009,172,244,8,80
PROD_005,REG_05,WH_010,254,343,10,99
PROD_005,REG_06,WH_011,152,240,10,98
PROD_005,REG_06,WH_012,207,281,8,82
PROD_005,REG_07,WH_013,92,145,2,55
PROD_005,REG_07,WH_014,215,279,5,69
PROD_005,REG_08,WH_015,459,514,8,63
PROD_005,REG_08,WH_016,378,408,6,36
PROD_005,REG_09,WH_017,184,247,10,73
PROD_005,REG_09,WH_018,225,311,10,96
