refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202505_0561,TXN_202505_014231,2025-06-09,REG_08,PROD_042,5,378.15,Wrong item
REF_202505_0562,TXN_202505_014451,2025-05-23,REG_04,PROD_026,1,90.57,Wrong item
REF_202505_0563,TXN_202505_014183,2025-05-19,REG_06,PROD_042,2,492.34,Defective
REF_202505_0564,TXN_202505_014409,2025-06-02,REG_03,PROD_006,1,47.55,Defective
REF_202505_0565,TXN_202505_014159,2025-05-17,REG_06,PROD_011,1,309.68,Customer request
REF_202505_0566,TXN_202505_014005,2025-05-19,REG_05,PROD_037,1,235.55,Defective
REF_202505_0567,TXN_202505_014082,2025-06-02,REG_02,PROD_042,3,1066.35,Not as described
REF_202505_0568,TXN_202505_014348,2025-05-22,REG_06,PROD_016,3,1400.25,Wrong item
REF_202505_0569,TXN_202505_014270,2025-05-18,REG_03,PROD_023,2,528.2,Damaged in transit
REF_202505_0570,TXN_202505_013992,2025-05-10,REG_04,PROD_021,5,2071.95,Defective
REF_202505_0571,TXN_202505_014175,2025-05-29,REG_03,PROD_004,3,268.71,Customer request
REF_202505_0572,TXN_202505_014414,2025-05-18,REG_08,PROD_013,3,61.71,Damaged in transit
REF_202505_0573,TXN_202505_014236,2025-05-19,REG_09,PROD_015,1,401.23,Wrong item
REF_202505_0574,TXN_202505_014154,2025-05-22,REG_01,PROD_044,1,167.85,Wrong item
REF_202505_0575,TXN_202505_014449,2025-05-16,REG_02,PROD_034,1,432.83,Not as described
REF_202505_0576,TXN_202505_014172,2025-05-03,REG_09,PROD_046,1,57.47,Wrong item
REF_202505_0577,TXN_202505_014249,2025-05-30,REG_03,PROD_011,2,103.14,Wrong item
REF_202505_0578,TXN_202505_014434,2025-05-31,REG_06,PROD_019,4,1535.04,Customer request
REF_202505_0579,TXN_202505_014109,2025-06-04,REG_03,PROD_024,3,1171.11,Damaged in transit
REF_202505_0580,TXN_202505_014102,2025-05-27,REG_08,PROD_013,2,995.38,Damaged in transit
