region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,99949.77,436,734.92,PROD_010,135,0.057
REG_02,115750.88,499,693.12,PROD_043,165,0.073
REG_03,103550.73,471,643.17,PROD_037,159,0.148
REG_04,115312.46,536,670.42,PROD_042,169,0.14
REG_05,89074.26,380,701.37,PROD_043,126,0.077
REG_06,95944.19,447,627.09,PROD_050,150,0.092
REG_07,96515.88,432,643.44,PROD_015,148,0.114
REG_08,83874.66,386,655.27,PROD_019,127,0.056
REG_09,94200.29,428,658.74,PROD_025,142,0.075
REG_10,112759.14,505,691.77,PROD_024,161,0.06
