product_id,category,sales_units,revenue,returns,stockouts,performance_score
PROD_001,Electronics,61,13084.04,4,0,-26.92
PROD_002,Electronics,69,15137.69,0,0,15.14
PROD_003,Electronics,72,14751.18,0,0,14.75
PROD_004,Electronics,107,24098.85,0,0,24.1
PROD_005,Electronics,72,16248.89,4,0,-23.75
PROD_006,Electronics,109,26017.96,2,0,6.02
PROD_007,Electronics,90,22739.55,5,0,-27.26
PROD_008,Electronics,103,25522.22,3,0,-4.48
PROD_009,Electronics,126,26694.63,11,0,-83.31
PROD_010,Electronics,91,19232.5,4,0,-20.77
PROD_011,Electronics,106,19802.55,1,0,9.8
PROD_012,Electronics,81,12057.17,3,0,-17.94
PROD_013,Clothing,88,19078.9,0,0,19.08
PROD_014,Clothing,114,23659.8,1,0,13.66
PROD_015,Clothing,81,18069.26,0,0,18.07
PROD_016,Clothing,124,31712.69,4,0,-8.29
PROD_017,Clothing,88,21996.1,1,0,12.0
PROD_018,Clothing,89,22511.84,2,0,2.51
PROD_019,Clothing,88,17052.57,5,0,-32.95
PROD_020,Clothing,82,17196.56,1,0,7.2
PROD_021,Clothing,93,18821.5,0,0,18.82
PROD_022,Clothing,85,17933.09,0,0,17.93
PROD_023,Clothing,115,29648.24,4,0,-10.35
PROD_024,Clothing,97,19763.97,2,0,-0.24
PROD_025,Food,97,22191.55,6,0,-37.81
PROD_026,Food,71,13658.21,4,0,-26.34
PROD_027,Food,70,17006.29,6,0,-42.99
PROD_028,Food,80,18276.49,3,0,-11.72
PROD_029,Food,73,15297.27,0,0,15.3
PROD_030,Food,93,24957.9,0,0,24.96
PROD_031,Food,71,13753.42,0,0,13.75
PROD_032,Food,111,27878.13,4,0,-12.12
PROD_033,Food,84,18145.53,3,0,-11.85
PROD_034,Food,82,15952.65,0,0,15.95
PROD_035,Food,89,21779.86,5,0,-28.22
PROD_036,Food,87,18426.42,2,0,-1.57
PROD_037,Home,129,31959.65,6,0,-28.04
PROD_038,Home,96,22644.12,0,0,22.64
PROD_039,Home,93,21383.01,0,0,21.38
PROD_040,Home,114,23413.56,2,0,3.41
PROD_041,Home,57,11397.67,0,0,11.4
PROD_042,Home,127,29564.29,3,0,-0.44
PROD_043,Home,92,20932.73,2,0,0.93
PROD_044,Home,83,18543.95,3,0,-11.46
PROD_045,Home,90,21878.32,7,0,-48.12
PROD_046,Home,81,18056.22,5,0,-31.94
PROD_047,Home,75,15216.42,0,0,15.22
PROD_048,Home,75,14404.6,11,0,-95.6
PROD_049,Books,54,10280.19,0,0,10.28
PROD_050,Books,115,27102.06,3,0,-2.9
