employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,26458.3,42,629.96,1,529.17
EMP_002,REG_02,99311.62,146,680.22,2,1986.23
EMP_003,REG_03,48146.08,79,609.44,5,962.92
EMP_004,REG_04,14280.48,22,649.11,3,285.61
EMP_005,REG_05,47196.34,79,597.42,1,943.93
EMP_006,REG_06,98249.6,156,629.81,2,1964.99
EMP_007,REG_07,101436.55,146,694.77,2,2028.73
EMP_008,REG_08,17324.42,27,641.65,0,346.49
EMP_009,REG_09,27922.22,39,715.95,2,558.44
EMP_010,REG_10,25338.65,37,684.83,2,506.77
EMP_011,REG_01,22284.13,34,655.42,5,445.68
EMP_012,REG_08,35802.56,44,813.69,3,716.05
EMP_013,REG_10,17032.59,30,567.75,1,340.65
EMP_014,REG_03,35985.53,65,553.62,2,719.71
EMP_015,REG_08,21531.73,35,615.19,1,430.63
EMP_016,REG_04,13773.58,20,688.68,4,275.47
EMP_017,REG_10,19086.77,26,734.11,1,381.74
EMP_018,REG_01,24521.53,34,721.22,0,490.43
EMP_019,REG_01,27584.35,43,641.5,0,551.69
EMP_020,REG_10,16272.1,31,524.91,0,325.44
EMP_021,REG_05,50045.14,76,658.49,1,1000.9
EMP_022,REG_09,22547.73,35,644.22,2,450.95
EMP_023,REG_08,17298.81,33,524.21,4,345.98
EMP_024,REG_04,22941.16,29,791.07,1,458.82
EMP_025,REG_09,31052.47,42,739.34,2,621.05
EMP_026,REG_04,10972.02,20,548.6,0,219.44
EMP_027,REG_09,24679.34,38,649.46,2,493.59
EMP_028,REG_10,21362.87,34,628.32,4,427.26
EMP_029,REG_04,14106.98,22,641.23,4,282.14
EMP_030,REG_04,20931.09,36,581.42,0,418.62
