region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,100848.31,446,659.14,PROD_033,153,0.1
REG_02,99311.62,467,680.22,PROD_049,145,0.074
REG_03,84131.61,382,584.25,PROD_009,144,0.095
REG_04,97005.31,412,651.04,PROD_001,148,0.132
REG_05,97241.48,446,627.36,PROD_019,154,0.124
REG_06,98249.6,437,629.81,PROD_046,155,0.07
REG_07,101436.55,451,694.77,PROD_044,144,0.059
REG_08,91957.52,434,661.56,PROD_017,138,0.05
REG_09,106201.76,477,689.62,PROD_027,154,0.135
REG_10,99092.98,463,627.17,PROD_038,156,0.052
