product_id,category,sales_units,revenue,returns,stockouts,performance_score
PROD_001,Electronics,113,21643.59,0,0,21.64
PROD_002,Electronics,104,26124.07,3,0,-3.88
PROD_003,Electronics,71,16420.27,3,0,-13.58
PROD_004,Electronics,69,19883.32,5,0,-30.12
PROD_005,Electronics,82,14182.51,7,0,-55.82
PROD_006,Electronics,70,14230.9,0,0,14.23
PROD_007,Electronics,81,17613.61,2,0,-2.39
PROD_008,Electronics,97,21493.56,7,0,-48.51
PROD_009,Electronics,116,25219.12,4,0,-14.78
PROD_010,Electronics,77,17077.34,8,0,-62.92
PROD_011,Electronics,105,23049.33,5,0,-26.95
PROD_012,Electronics,68,11546.61,0,0,11.55
PROD_013,Clothing,111,24015.49,0,0,24.02
PROD_014,Clothing,100,22796.57,2,0,2.8
PROD_015,Clothing,91,18396.75,5,0,-31.6
PROD_016,Clothing,62,14373.61,5,0,-35.63
PROD_017,Clothing,111,20439.84,4,0,-19.56
PROD_018,Clothing,85,21307.75,0,0,21.31
PROD_019,Clothing,105,23276.08,0,0,23.28
PROD_020,Clothing,86,18095.97,2,0,-1.9
PROD_021,Clothing,82,20520.44,0,0,20.52
PROD_022,Clothing,84,16335.18,1,0,6.34
PROD_023,Clothing,91,20298.14,0,0,20.3
PROD_024,Clothing,66,13807.91,4,0,-26.19
PROD_025,Food,89,19632.47,1,0,9.63
PROD_026,Food,83,20005.55,1,0,10.01
PROD_027,Food,93,21444.03,4,0,-18.56
PROD_028,Food,88,21354.44,1,0,11.35
PROD_029,Food,115,29734.57,0,0,29.73
PROD_030,Food,81,18970.72,2,0,-1.03
PROD_031,Food,72,11256.11,0,0,11.26
PROD_032,Food,98,25715.87,2,0,5.72
PROD_033,Food,84,19297.14,1,0,9.3
PROD_034,Food,68,15003.21,2,0,-5.0
PROD_035,Food,59,12792.85,1,0,2.79
PROD_036,Food,75,15364.06,0,0,15.36
PROD_037,Home,94,23025.28,4,0,-16.97
PROD_038,Home,97,21863.38,0,0,21.86
PROD_039,Home,98,22074.81,2,0,2.07
PROD_040,Home,68,14761.02,1,0,4.76
PROD_041,Home,91,19997.06,1,0,10.0
PROD_042,Home,102,21788.14,1,0,11.79
PROD_043,Home,70,15941.21,1,0,5.94
PROD_044,Home,80,17296.84,3,0,-12.7
PROD_045,Home,107,21349.78,3,0,-8.65
PROD_046,Home,71,15723.13,2,0,-4.28
PROD_047,Home,109,23389.46,0,0,23.39
PROD_048,Home,96,21634.44,1,0,11.63
PROD_049,Books,132,27285.99,5,0,-22.71
PROD_050,Books,68,16627.22,3,0,-13.37
