refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202312_0221,TXN_202312_005598,2023-12-31,REG_02,PROD_048,1,154.77,Defective
REF_202312_0222,TXN_202312_005836,2023-12-25,REG_03,PROD_042,3,1425.15,Customer request
REF_202312_0223,TXN_202312_005559,2023-12-31,REG_10,PROD_037,4,520.28,Defective
REF_202312_0224,TXN_202312_005547,2024-01-08,REG_04,PROD_039,3,104.28,Damaged in transit
REF_202312_0225,TXN_202312_005958,2024-01-04,REG_02,PROD_011,1,389.16,Wrong item
REF_202312_0226,TXN_202312_005725,2023-12-29,REG_07,PROD_002,1,205.99,Not as described
REF_202312_0227,TXN_202312_005669,2023-12-27,REG_03,PROD_036,1,70.4,Customer request
REF_202312_0228,TXN_202312_005974,2023-12-22,REG_07,PROD_041,1,361.09,Wrong item
REF_202312_0229,TXN_202312_005799,2023-12-29,REG_09,PROD_020,1,422.31,Damaged in transit
REF_202312_0230,TXN_202312_005631,2024-01-11,REG_07,PROD_022,1,271.92,Customer request
REF_202312_0231,TXN_202312_005686,2023-12-25,REG_01,PROD_013,2,192.2,Customer request
REF_202312_0232,TXN_202312_005935,2023-12-19,REG_05,PROD_046,1,322.98,Customer request
REF_202312_0233,TXN_202312_005668,2023-12-22,REG_01,PROD_043,1,371.43,Defective
REF_202312_0234,TXN_202312_005790,2024-01-07,REG_01,PROD_044,4,1926.28,Customer request
REF_202312_0235,TXN_202312_005605,2023-12-27,REG_04,PROD_040,2,371.2,Wrong item
REF_202312_0236,TXN_202312_005735,2024-01-01,REG_05,PROD_029,1,12.55,Defective
REF_202312_0237,TXN_202312_005545,2023-12-29,REG_03,PROD_026,2,174.34,Customer request
REF_202312_0238,TXN_202312_005658,2024-01-09,REG_06,PROD_048,5,500.3,Not as described
REF_202312_0239,TXN_202312_005732,2023-12-26,REG_05,PROD_008,4,545.32,Damaged in transit
REF_202312_0240,TXN_202312_005890,2023-12-29,REG_09,PROD_039,2,564.3,Defective
