refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202502_0501,TXN_202502_012692,2025-02-20,REG_04,PROD_025,4,862.0,Damaged in transit
REF_202502_0502,TXN_202502_012771,2025-02-02,REG_08,PROD_040,1,239.7,Wrong item
REF_202502_0503,TXN_202502_012576,2025-02-20,REG_04,PROD_007,2,395.32,Wrong item
REF_202502_0504,TXN_202502_012663,2025-02-17,REG_08,PROD_013,3,678.15,Customer request
REF_202502_0505,TXN_202502_012674,2025-02-27,REG_01,PROD_035,1,317.78,Customer request
REF_202502_0506,TXN_202502_012628,2025-02-16,REG_09,PROD_021,3,759.12,Wrong item
REF_202502_0507,TXN_202502_012758,2025-02-08,REG_04,PROD_014,1,25.82,Damaged in transit
REF_202502_0508,TXN_202502_012530,2025-02-14,REG_10,PROD_008,1,250.13,Damaged in transit
REF_202502_0509,TXN_202502_012517,2025-02-24,REG_01,PROD_003,3,1098.39,Defective
REF_202502_0510,TXN_202502_012698,2025-02-14,REG_03,PROD_002,4,1314.92,Not as described
REF_202502_0511,TXN_202502_012815,2025-02-23,REG_07,PROD_006,2,539.04,Wrong item
REF_202502_0512,TXN_202502_012510,2025-02-21,REG_07,PROD_034,2,269.68,Defective
REF_202502_0513,TXN_202502_012833,2025-02-26,REG_05,PROD_024,2,367.44,Defective
REF_202502_0514,TXN_202502_012958,2025-02-22,REG_03,PROD_017,2,768.04,Not as described
REF_202502_0515,TXN_202502_012862,2025-02-19,REG_09,PROD_029,1,330.14,Customer request
REF_202502_0516,TXN_202502_012506,2025-02-16,REG_03,PROD_014,2,517.9,Defective
REF_202502_0517,TXN_202502_012543,2025-02-20,REG_02,PROD_048,2,546.24,Customer request
REF_202502_0518,TXN_202502_012573,2025-02-22,REG_01,PROD_043,2,911.34,Damaged in transit
REF_202502_0519,TXN_202502_012728,2025-02-27,REG_01,PROD_006,2,149.86,Not as described
REF_202502_0520,TXN_202502_012737,2025-02-25,REG_09,PROD_036,2,243.7,Defective
