refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202309_0161,TXN_202309_004321,2023-09-08,REG_07,PROD_009,3,901.35,Not as described
REF_202309_0162,TXN_202309_004289,2023-09-08,REG_04,PROD_042,1,135.51,Damaged in transit
REF_202309_0163,TXN_202309_004256,2023-09-25,REG_01,PROD_014,1,479.46,Damaged in transit
REF_202309_0164,TXN_202309_004240,2023-10-03,REG_06,PROD_007,3,1204.53,Wrong item
REF_202309_0165,TXN_202309_004258,2023-09-29,REG_04,PROD_025,3,664.44,Damaged in transit
REF_202309_0166,TXN_202309_004120,2023-09-08,REG_08,PROD_019,5,1688.05,Damaged in transit
REF_202309_0167,TXN_202309_004313,2023-09-19,REG_04,PROD_048,4,1357.64,Defective
REF_202309_0168,TXN_202309_004273,2023-09-24,REG_01,PROD_005,2,886.06,Defective
REF_202309_0169,TXN_202309_004217,2023-09-05,REG_03,PROD_046,1,207.06,Customer request
REF_202309_0170,TXN_202309_004323,2023-09-20,REG_04,PROD_001,3,603.78,Customer request
REF_202309_0171,TXN_202309_004212,2023-10-11,REG_02,PROD_011,1,428.96,Defective
REF_202309_0172,TXN_202309_003982,2023-09-18,REG_09,PROD_027,4,845.2,Not as described
REF_202309_0173,TXN_202309_004199,2023-10-05,REG_01,PROD_006,2,451.14,Not as described
REF_202309_0174,TXN_202309_004141,2023-09-25,REG_09,PROD_017,1,467.5,Damaged in transit
REF_202309_0175,TXN_202309_004020,2023-10-09,REG_07,PROD_032,2,477.52,Defective
REF_202309_0176,TXN_202309_004389,2023-09-05,REG_06,PROD_040,2,333.5,Wrong item
REF_202309_0177,TXN_202309_004269,2023-09-25,REG_01,PROD_046,4,1735.28,Wrong item
REF_202309_0178,TXN_202309_004235,2023-09-07,REG_07,PROD_050,3,1014.57,Damaged in transit
REF_202309_0179,TXN_202309_004461,2023-09-27,REG_09,PROD_020,1,49.31,Not as described
REF_202309_0180,TXN_202309_004095,2023-09-23,REG_10,PROD_024,2,128.16,Wrong item
