refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202411_0441,TXN_202411_011091,2024-11-18,REG_03,PROD_013,2,844.02,Wrong item
REF_202411_0442,TXN_202411_011117,2024-12-05,REG_01,PROD_008,1,215.95,Damaged in transit
REF_202411_0443,TXN_202411_011192,2024-12-03,REG_06,PROD_009,2,720.1,Damaged in transit
REF_202411_0444,TXN_202411_011017,2024-11-28,REG_04,PROD_030,2,161.68,Not as described
REF_202411_0445,TXN_202411_011207,2024-11-08,REG_01,PROD_019,3,495.81,Wrong item
REF_202411_0446,TXN_202411_011064,2024-11-29,REG_03,PROD_027,3,854.94,Not as described
REF_202411_0447,TXN_202411_011373,2024-11-25,REG_07,PROD_038,3,985.95,Wrong item
REF_202411_0448,TXN_202411_011457,2024-11-12,REG_01,PROD_024,1,488.88,Not as described
REF_202411_0449,TXN_202411_011145,2024-11-27,REG_08,PROD_011,2,152.04,Wrong item
REF_202411_0450,TXN_202411_011169,2024-12-03,REG_10,PROD_004,3,977.25,Not as described
REF_202411_0451,TXN_202411_011156,2024-11-18,REG_01,PROD_039,1,390.11,Customer request
REF_202411_0452,TXN_202411_011308,2024-11-28,REG_06,PROD_007,2,32.72,Customer request
REF_202411_0453,TXN_202411_011052,2024-12-02,REG_04,PROD_026,4,1128.4,Not as described
REF_202411_0454,TXN_202411_011452,2024-11-05,REG_03,PROD_049,1,59.88,Damaged in transit
REF_202411_0455,TXN_202411_011294,2024-11-20,REG_02,PROD_037,4,252.24,Customer request
REF_202411_0456,TXN_202411_010982,2024-11-24,REG_10,PROD_023,5,2082.3,Defective
REF_202411_0457,TXN_202411_011386,2024-11-21,REG_09,PROD_012,3,667.53,Not as described
REF_202411_0458,TXN_202411_011187,2024-12-05,REG_10,PROD_016,3,508.62,Not as described
REF_202411_0459,TXN_202411_011059,2024-11-26,REG_10,PROD_050,1,130.79,Customer request
REF_202411_0460,TXN_202411_011188,2024-11-24,REG_06,PROD_003,1,125.88,Damaged in transit
