refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202409_0401,TXN_202409_010477,2024-09-29,REG_05,PROD_007,1,78.5,Not as described
REF_202409_0402,TXN_202409_010425,2024-09-21,REG_03,PROD_033,2,762.24,Defective
REF_202409_0403,TXN_202409_010107,2024-09-30,REG_01,PROD_032,1,103.05,Defective
REF_202409_0404,TXN_202409_010476,2024-09-16,REG_09,PROD_031,1,432.5,Damaged in transit
REF_202409_0405,TXN_202409_010285,2024-09-24,REG_08,PROD_027,2,763.72,Wrong item
REF_202409_0406,TXN_202409_010032,2024-09-10,REG_06,PROD_038,3,1445.49,Customer request
REF_202409_0407,TXN_202409_010298,2024-10-04,REG_08,PROD_034,3,746.82,Damaged in transit
REF_202409_0408,TXN_202409_010339,2024-09-24,REG_02,PROD_021,2,48.94,Defective
REF_202409_0409,TXN_202409_010359,2024-09-21,REG_01,PROD_003,1,419.66,Damaged in transit
REF_202409_0410,TXN_202409_010363,2024-09-14,REG_10,PROD_014,1,105.19,Wrong item
REF_202409_0411,TXN_202409_010332,2024-09-05,REG_09,PROD_009,1,311.77,Customer request
REF_202409_0412,TXN_202409_010055,2024-09-15,REG_06,PROD_038,2,73.76,Not as described
REF_202409_0413,TXN_202409_010176,2024-09-29,REG_02,PROD_006,4,277.32,Wrong item
REF_202409_0414,TXN_202409_010220,2024-09-16,REG_09,PROD_014,1,87.46,Wrong item
REF_202409_0415,TXN_202409_010126,2024-09-22,REG_01,PROD_046,1,354.1,Not as described
REF_202409_0416,TXN_202409_010136,2024-10-15,REG_10,PROD_013,1,88.99,Defective
REF_202409_0417,TXN_202409_010083,2024-09-28,REG_08,PROD_036,1,202.93,Not as described
REF_202409_0418,TXN_202409_009989,2024-09-22,REG_02,PROD_026,2,185.4,Not as described
REF_202409_0419,TXN_202409_010329,2024-09-12,REG_07,PROD_025,1,291.74,Customer request
REF_202409_0420,TXN_202409_010402,2024-09-16,REG_01,PROD_042,2,797.24,Not as described
