region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,94748.51,455,640.19,PROD_038,147,0.14
REG_02,99649.2,449,659.93,PROD_049,151,0.148
REG_03,101172.13,445,661.26,PROD_044,150,0.114
REG_04,106407.98,483,682.1,PROD_009,155,0.061
REG_05,94119.91,458,623.31,PROD_025,151,0.129
REG_06,87519.89,422,638.83,PROD_027,137,0.14
REG_07,103508.66,468,667.8,PROD_020,152,0.11
REG_08,100693.69,476,610.26,PROD_044,165,0.111
REG_09,95952.38,483,607.29,PROD_010,158,0.078
REG_10,84948.07,398,674.19,PROD_042,126,0.116
