employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,14834.84,24,618.12,2,296.7
EMP_002,REG_02,99649.2,151,659.93,4,1992.98
EMP_003,REG_03,51987.04,81,641.82,1,1039.74
EMP_004,REG_04,14682.96,20,734.15,3,293.66
EMP_005,REG_05,47781.43,72,663.63,1,955.63
EMP_006,REG_06,87519.89,137,638.83,1,1750.4
EMP_007,REG_07,103508.66,155,667.8,1,2070.17
EMP_008,REG_08,26203.0,44,595.52,3,524.06
EMP_009,REG_09,20569.64,38,541.31,5,411.39
EMP_010,REG_10,11143.25,16,696.45,0,222.87
EMP_011,REG_01,31845.49,44,723.76,3,636.91
EMP_012,REG_08,24932.3,41,608.1,4,498.65
EMP_013,REG_10,15615.38,25,624.62,3,312.31
EMP_014,REG_03,49185.09,72,683.13,1,983.7
EMP_015,REG_08,17609.13,35,503.12,1,352.18
EMP_016,REG_04,22201.97,25,888.08,0,444.04
EMP_017,REG_10,16418.65,27,608.1,0,328.37
EMP_018,REG_01,20325.07,38,534.87,4,406.5
EMP_019,REG_01,27743.11,42,660.55,3,554.86
EMP_020,REG_10,15524.89,23,675.0,3,310.5
EMP_021,REG_05,46338.48,79,586.56,1,926.77
EMP_022,REG_09,31061.27,49,633.9,4,621.23
EMP_023,REG_08,31949.26,45,709.98,2,638.99
EMP_024,REG_04,19959.05,33,604.82,1,399.18
EMP_025,REG_09,25288.1,35,722.52,2,505.76
EMP_026,REG_04,12444.32,21,592.59,5,248.89
EMP_027,REG_09,19033.37,36,528.7,2,380.67
EMP_028,REG_10,26245.9,35,749.88,0,524.92
EMP_029,REG_04,14257.73,29,491.65,5,285.15
EMP_030,REG_04,22861.95,28,816.5,5,457.24
