refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202501_0481,TXN_202501_012423,2025-01-09,REG_02,PROD_028,4,960.32,Not as described
REF_202501_0482,TXN_202501_012355,2025-02-02,REG_05,PROD_019,2,819.14,Damaged in transit
REF_202501_0483,TXN_202501_012357,2025-01-31,REG_05,PROD_037,1,405.06,Customer request
REF_202501_0484,TXN_202501_012390,2025-01-27,REG_05,PROD_019,1,268.81,Defective
REF_202501_0485,TXN_202501_012318,2025-02-07,REG_04,PROD_016,1,202.77,Not as described
REF_202501_0486,TXN_202501_012045,2025-01-16,REG_07,PROD_033,1,477.11,Defective
REF_202501_0487,TXN_202501_012149,2025-01-31,REG_06,PROD_030,5,588.35,Not as described
REF_202501_0488,TXN_202501_011974,2025-02-01,REG_06,PROD_047,1,199.77,Wrong item
REF_202501_0489,TXN_202501_012220,2025-01-31,REG_04,PROD_029,1,452.59,Defective
REF_202501_0490,TXN_202501_012103,2025-02-09,REG_05,PROD_043,1,448.24,Wrong item
REF_202501_0491,TXN_202501_012240,2025-01-26,REG_08,PROD_005,1,83.97,Defective
REF_202501_0492,TXN_202501_012165,2025-01-15,REG_06,PROD_021,2,424.32,Wrong item
REF_202501_0493,TXN_202501_012383,2025-01-30,REG_05,PROD_003,1,437.19,Customer request
REF_202501_0494,TXN_202501_012295,2025-01-15,REG_09,PROD_020,1,322.97,Customer request
REF_202501_0495,TXN_202501_011975,2025-01-27,REG_06,PROD_017,2,969.7,Customer request
REF_202501_0496,TXN_202501_012449,2025-02-04,REG_07,PROD_048,2,821.34,Customer request
REF_202501_0497,TXN_202501_012189,2025-01-30,REG_06,PROD_050,3,915.81,Damaged in transit
REF_202501_0498,TXN_202501_011973,2025-01-30,REG_09,PROD_003,1,498.17,Not as described
REF_202501_0499,TXN_202501_012356,2025-01-22,REG_05,PROD_049,1,414.08,Defective
REF_202501_0500,TXN_202501_012372,2025-01-29,REG_03,PROD_016,1,499.16,Wrong item
