refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202512_0701,TXN_202512_017667,2025-12-31,REG_06,PROD_019,1,306.92,Wrong item
REF_202512_0702,TXN_202512_017654,2025-12-27,REG_03,PROD_045,2,909.06,Damaged in transit
REF_202512_0703,TXN_202512_017547,2025-12-11,REG_05,PROD_006,1,486.04,Wrong item
REF_202512_0704,TXN_202512_017678,2026-01-01,REG_10,PROD_008,2,871.2,Customer request
REF_202512_0705,TXN_202512_017499,2026-01-09,REG_07,PROD_041,2,886.94,Wrong item
REF_202512_0706,TXN_202512_017545,2025-12-29,REG_09,PROD_037,2,423.46,Defective
REF_202512_0707,TXN_202512_017817,2025-12-07,REG_08,PROD_014,2,141.18,Defective
REF_202512_0708,TXN_202512_017617,2025-12-26,REG_10,PROD_043,3,563.37,Wrong item
REF_202512_0709,TXN_202512_017561,2026-01-05,REG_01,PROD_005,1,380.42,Not as described
REF_202512_0710,TXN_202512_017527,2025-12-24,REG_06,PROD_010,4,843.28,Wrong item
REF_202512_0711,TXN_202512_017660,2025-12-23,REG_10,PROD_022,2,493.62,Defective
REF_202512_0712,TXN_202512_017583,2025-12-22,REG_04,PROD_029,1,66.88,Defective
REF_202512_0713,TXN_202512_017656,2025-12-25,REG_07,PROD_020,1,246.38,Not as described
REF_202512_0714,TXN_202512_017759,2026-01-09,REG_07,PROD_023,1,133.18,Wrong item
REF_202512_0715,TXN_202512_017612,2025-12-20,REG_07,PROD_011,2,115.94,Customer request
REF_202512_0716,TXN_202512_017628,2025-12-29,REG_01,PROD_020,3,585.87,Defective
REF_202512_0717,TXN_202512_017790,2026-01-02,REG_10,PROD_029,4,1003.44,Customer request
REF_202512_0718,TXN_202512_017925,2025-12-26,REG_08,PROD_035,1,248.67,Wrong item
REF_202512_0719,TXN_202512_017552,2025-12-24,REG_01,PROD_037,1,476.35,Damaged in transit
REF_202512_0720,TXN_202512_017593,2025-12-19,REG_03,PROD_031,1,59.92,Customer request
