refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202403_0281,TXN_202403_007100,2024-03-18,REG_02,PROD_040,1,127.37,Wrong item
REF_202403_0282,TXN_202403_007062,2024-03-14,REG_07,PROD_039,1,234.0,Not as described
REF_202403_0283,TXN_202403_007278,2024-03-16,REG_07,PROD_002,1,173.72,Defective
REF_202403_0284,TXN_202403_007197,2024-03-25,REG_02,PROD_034,1,41.73,Damaged in transit
REF_202403_0285,TXN_202403_007135,2024-03-17,REG_06,PROD_027,1,464.15,Wrong item
REF_202403_0286,TXN_202403_007395,2024-03-20,REG_03,PROD_038,2,273.58,Not as described
REF_202403_0287,TXN_202403_007178,2024-03-31,REG_04,PROD_030,1,488.34,Defective
REF_202403_0288,TXN_202403_007243,2024-03-25,REG_09,PROD_018,1,323.47,Not as described
REF_202403_0289,TXN_202403_007281,2024-03-20,REG_03,PROD_023,1,262.05,Wrong item
REF_202403_0290,TXN_202403_007028,2024-03-22,REG_06,PROD_024,2,347.48,Wrong item
REF_202403_0291,TXN_202403_007299,2024-04-01,REG_10,PROD_026,1,304.83,Wrong item
REF_202403_0292,TXN_202403_007445,2024-03-29,REG_06,PROD_001,1,245.48,Not as described
REF_202403_0293,TXN_202403_007138,2024-03-30,REG_08,PROD_025,1,184.43,Not as described
REF_202403_0294,TXN_202403_007419,2024-03-23,REG_03,PROD_011,2,647.34,Defective
REF_202403_0295,TXN_202403_007358,2024-03-17,REG_09,PROD_047,2,392.58,Damaged in transit
REF_202403_0296,TXN_202403_007090,2024-03-16,REG_03,PROD_032,2,659.34,Customer request
REF_202403_0297,TXN_202403_007218,2024-03-22,REG_03,PROD_011,1,204.99,Defective
REF_202403_0298,TXN_202403_007095,2024-03-24,REG_05,PROD_018,1,252.37,Wrong item
REF_202403_0299,TXN_202403_007127,2024-03-23,REG_05,PROD_045,3,956.19,Wrong item
REF_202403_0300,TXN_202403_007380,2024-03-30,REG_04,PROD_015,2,463.56,Defective
