refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202410_0421,TXN_202410_010916,2024-10-19,REG_03,PROD_044,2,130.68,Defective
REF_202410_0422,TXN_202410_010716,2024-10-19,REG_10,PROD_029,4,1436.36,Damaged in transit
REF_202410_0423,TXN_202410_010728,2024-10-07,REG_07,PROD_043,3,1089.6,Not as described
REF_202410_0424,TXN_202410_010886,2024-10-16,REG_07,PROD_024,3,1120.8,Not as described
REF_202410_0425,TXN_202410_010835,2024-10-10,REG_10,PROD_046,4,1668.24,Wrong item
REF_202410_0426,TXN_202410_010943,2024-10-13,REG_06,PROD_049,2,283.44,Defective
REF_202410_0427,TXN_202410_010642,2024-10-09,REG_09,PROD_046,1,389.62,Defective
REF_202410_0428,TXN_202410_010580,2024-10-25,REG_08,PROD_008,2,194.64,Defective
REF_202410_0429,TXN_202410_010608,2024-10-23,REG_10,PROD_004,1,379.55,Damaged in transit
REF_202410_0430,TXN_202410_010493,2024-11-11,REG_08,PROD_025,1,158.74,Defective
REF_202410_0431,TXN_202410_010686,2024-11-04,REG_03,PROD_003,1,338.39,Customer request
REF_202410_0432,TXN_202410_010807,2024-10-08,REG_01,PROD_042,1,53.34,Defective
REF_202410_0433,TXN_202410_010551,2024-10-24,REG_07,PROD_040,2,472.4,Defective
REF_202410_0434,TXN_202410_010609,2024-11-03,REG_04,PROD_036,1,169.62,Wrong item
REF_202410_0435,TXN_202410_010857,2024-10-26,REG_07,PROD_014,2,122.2,Damaged in transit
REF_202410_0436,TXN_202410_010680,2024-10-25,REG_03,PROD_031,2,25.1,Damaged in transit
REF_202410_0437,TXN_202410_010708,2024-10-01,REG_07,PROD_042,5,2475.75,Defective
REF_202410_0438,TXN_202410_010703,2024-11-06,REG_08,PROD_007,1,441.19,Damaged in transit
REF_202410_0439,TXN_202410_010948,2024-11-07,REG_01,PROD_004,3,210.36,Not as described
REF_202410_0440,TXN_202410_010636,2024-10-22,REG_08,PROD_035,1,278.37,Not as described
