region,total_sales,total_units,avg_order_value,top_product,new_customers,churn_rate
REG_01,103192.05,490,636.99,PROD_013,159,0.103
REG_02,73157.94,365,571.55,PROD_035,124,0.115
REG_03,84822.93,429,601.58,PROD_001,140,0.101
REG_04,103691.0,488,660.45,PROD_021,157,0.148
REG_05,91168.23,410,660.64,PROD_039,137,0.111
REG_06,95551.64,425,663.55,PROD_035,143,0.132
REG_07,113259.16,512,618.9,PROD_048,179,0.051
REG_08,94206.5,429,645.25,PROD_009,146,0.15
REG_09,83361.95,399,604.07,PROD_031,137,0.102
REG_10,105854.03,490,649.41,PROD_004,162,0.116
