product_id,category,sales_units,revenue,returns,stockouts,performance_score
PROD_001,Electronics,91,17471.71,1,0,7.47
PROD_002,Electronics,106,21184.15,4,0,-18.82
PROD_003,Electronics,99,20992.23,9,0,-69.01
PROD_004,Electronics,133,28316.2,4,0,-11.68
PROD_005,Electronics,77,14498.43,3,0,-15.5
PROD_006,Electronics,111,22055.39,0,0,22.06
PROD_007,Electronics,71,15644.85,0,0,15.64
PROD_008,Electronics,89,16974.38,1,0,6.97
PROD_009,Electronics,94,19837.98,1,0,9.84
PROD_010,Electronics,71,12166.81,1,0,2.17
PROD_011,Electronics,70,14215.33,2,0,-5.78
PROD_012,Electronics,91,20159.83,0,0,20.16
PROD_013,Clothing,90,19536.5,2,0,-0.46
PROD_014,Clothing,106,26392.39,2,0,6.39
PROD_015,Clothing,92,18013.01,5,0,-31.99
PROD_016,Clothing,60,11643.1,0,0,11.64
PROD_017,Clothing,91,23898.63,0,0,23.9
PROD_018,Clothing,96,23798.69,11,0,-86.2
PROD_019,Clothing,88,17109.89,8,0,-62.89
PROD_020,Clothing,79,16862.94,1,0,6.86
PROD_021,Clothing,109,26821.98,0,0,26.82
PROD_022,Clothing,73,13786.13,0,0,13.79
PROD_023,Clothing,97,20545.57,3,0,-9.45
PROD_024,Clothing,88,16164.54,1,0,6.16
PROD_025,Food,95,25066.49,3,0,-4.93
PROD_026,Food,81,17107.94,4,0,-22.89
PROD_027,Food,106,21983.0,7,0,-48.02
PROD_028,Food,83,16597.46,2,0,-3.4
PROD_029,Food,101,18443.28,4,0,-21.56
PROD_030,Food,86,15698.67,0,0,15.7
PROD_031,Food,112,25250.54,5,0,-24.75
PROD_032,Food,81,16524.74,2,0,-3.48
PROD_033,Food,68,14955.87,1,0,4.96
PROD_034,Food,61,10921.85,1,0,0.92
PROD_035,Food,133,32761.18,2,0,12.76
PROD_036,Food,97,20708.52,6,0,-39.29
PROD_037,Home,79,17786.43,3,0,-12.21
PROD_038,Home,59,13094.67,2,0,-6.91
PROD_039,Home,85,19336.93,2,0,-0.66
PROD_040,Home,76,16375.3,8,0,-63.62
PROD_041,Home,85,18344.7,1,0,8.34
PROD_042,Home,95,20233.25,0,0,20.23
PROD_043,Home,73,13566.16,5,0,-36.43
PROD_044,Home,85,18726.21,0,0,18.73
PROD_045,Home,76,16797.91,2,0,-3.2
PROD_046,Home,82,18577.49,0,0,18.58
PROD_047,Home,115,22738.8,1,0,12.74
PROD_048,Home,82,22100.76,1,0,12.1
PROD_049,Books,79,16052.47,1,0,6.05
PROD_050,Books,90,20424.15,1,0,10.42
