employee_id,region,total_sales,transactions,avg_revenue,absentee_days,bonus
EMP_001,REG_01,27386.01,39,702.21,0,547.72
EMP_002,REG_02,73157.94,128,571.55,3,1463.16
EMP_003,REG_03,48097.83,75,641.3,4,961.96
EMP_004,REG_04,14629.0,25,585.16,5,292.58
EMP_005,REG_05,42544.96,69,616.59,5,850.9
EMP_006,REG_06,95551.64,144,663.55,2,1911.03
EMP_007,REG_07,113259.16,183,618.9,0,2265.18
EMP_008,REG_08,26889.96,41,655.85,1,537.8
EMP_009,REG_09,19494.66,32,609.21,2,389.89
EMP_010,REG_10,20438.26,29,704.77,3,408.77
EMP_011,REG_01,23633.11,39,605.98,2,472.66
EMP_012,REG_08,20718.24,36,575.51,1,414.36
EMP_013,REG_10,22478.94,38,591.55,4,449.58
EMP_014,REG_03,36725.1,66,556.44,3,734.5
EMP_015,REG_08,23310.1,39,597.69,1,466.2
EMP_016,REG_04,16165.01,25,646.6,3,323.3
EMP_017,REG_10,32111.23,38,845.03,0,642.22
EMP_018,REG_01,28652.14,46,622.87,5,573.04
EMP_019,REG_01,23520.79,38,618.97,3,470.42
EMP_020,REG_10,13684.37,25,547.37,1,273.69
EMP_021,REG_05,48623.27,69,704.69,5,972.47
EMP_022,REG_09,23761.01,39,609.26,1,475.22
EMP_023,REG_08,23288.2,30,776.27,5,465.76
EMP_024,REG_04,15503.46,23,674.06,3,310.07
EMP_025,REG_09,18038.72,28,644.24,2,360.77
EMP_026,REG_04,18082.37,31,583.3,5,361.65
EMP_027,REG_09,22067.56,39,565.83,4,441.35
EMP_028,REG_10,17141.23,33,519.43,3,342.82
EMP_029,REG_04,20401.9,27,755.63,1,408.04
EMP_030,REG_04,18909.26,26,727.28,1,378.19
