refund_id,transaction_id,refund_date,region,product_id,units,refund_amount,reason
REF_202408_0381,TXN_202408_009726,2024-08-08,REG_05,PROD_003,1,218.19,Wrong item
REF_202408_0382,TXN_202408_009595,2024-08-19,REG_08,PROD_022,1,209.28,Defective
REF_202408_0383,TXN_202408_009935,2024-08-30,REG_09,PROD_043,3,739.98,Not as described
REF_202408_0384,TXN_202408_009578,2024-08-25,REG_09,PROD_035,2,269.14,Wrong item
REF_202408_0385,TXN_202408_009656,2024-08-17,REG_03,PROD_005,4,211.04,Defective
REF_202408_0386,TXN_202408_009976,2024-08-26,REG_10,PROD_025,1,232.27,Customer request
REF_202408_0387,TXN_202408_009611,2024-08-24,REG_02,PROD_050,3,172.92,Customer request
REF_202408_0388,TXN_202408_009932,2024-08-12,REG_03,PROD_028,1,203.27,Damaged in transit
REF_202408_0389,TXN_202408_009520,2024-08-25,REG_04,PROD_037,2,110.46,Defective
REF_202408_0390,TXN_202408_009795,2024-09-03,REG_05,PROD_029,4,987.92,Defective
REF_202408_0391,TXN_202408_009590,2024-09-03,REG_04,PROD_030,3,816.72,Wrong item
REF_202408_0392,TXN_202408_009721,2024-08-30,REG_01,PROD_037,1,294.96,Not as described
REF_202408_0393,TXN_202408_009580,2024-09-11,REG_06,PROD_035,2,872.92,Wrong item
REF_202408_0394,TXN_202408_009607,2024-09-07,REG_06,PROD_021,3,271.71,Wrong item
REF_202408_0395,TXN_202408_009756,2024-08-25,REG_04,PROD_039,2,75.94,Defective
REF_202408_0396,TXN_202408_009714,2024-08-27,REG_04,PROD_005,1,135.14,Defective
REF_202408_0397,TXN_202408_009484,2024-08-31,REG_02,PROD_042,1,247.56,Defective
REF_202408_0398,TXN_202408_009722,2024-08-30,REG_02,PROD_025,1,496.93,Damaged in transit
REF_202408_0399,TXN_202408_009960,2024-08-15,REG_01,PROD_042,2,418.34,Wrong item
REF_202408_0400,TXN_202408_009504,2024-08-24,REG_01,PROD_002,3,1202.67,Damaged in transit
